iter	Passed	Remaining
553	41843	33686
554	41911	33604
555	41967	33513
556	42019	33419
557	42076	33329
558	42139	33243
559	42206	33162
560	42260	33069
561	42319	32981
562	42372	32889
563	42420	32793
564	42468	32697
565	42518	32602
566	42568	32508
567	42621	32416
568	42680	32329
569	42741	32243
570	42794	32152
571	42853	32065
572	42910	31976
573	42957	31881
574	43002	31784
575	43047	31688
576	43093	31591
577	43139	31496
578	43183	31399
579	43232	31306
580	43280	31212
581	43328	31119
582	43384	31031
583	43453	30952
584	43512	30867
585	43577	30786
586	43639	30704
587	43697	30617
588	43751	30529
589	43801	30438
590	43859	30352
591	43910	30262
592	43956	30169
593	43996	30071
594	44039	29976
595	44080	29879
596	44123	29784
597	44166	29690
598	44212	29598
599	44263	29509
600	44307	29415
601	44350	29321
602	44397	29230
603	44451	29143
604	44517	29065
605	44562	28972
606	44613	28885
607	44657	28792
608	44701	28700
609	44745	28607
610	44784	28512
611	44832	28423
612	44874	28330
613	44919	28239
614	44959	28145
615	45003	28054
616	45047	27963
617	45101	27878
618	45143	27786
619	45193	27699
620	45240	27610
621	45293	27525
622	45341	27437
623	45382	27345
624	45421	27253
625	45466	27163
626	45510	27073
627	45558	26986
628	45605	26899
629	45650	26810
630	45697	26723
631	45742	26635
632	45794	26550
633	45842	26464
634	45888	26376
635	45930	26287
636	45974	26199
637	46017	26110
638	46062	26022
639	46106	25934
640	46150	25846
641	46199	25762
642	46242	25674
643	46285	25586
644	46336	25502
645	46400	25427
646	46452	25343
647	46494	25256
648	46544	25172
649	46592	25088
650	46658	25013
651	46719	24935
652	46769	24853
653	46826	24773
654	46877	24691
655	46920	24604
656	46966	24519
657	47011	24434
658	47061	24351
659	47100	24263
660	47143	24177
661	47186	24092
662	47231	24007
663	47276	23923
664	47326	23840
665	47373	23757
666	47419	23674
667	47470	23592
668	47518	23510
669	47563	23426
670	47606	23341
671	47645	23255
672	47688	23171
673	47738	23090
674	47788	23009
675	47835	22927
676	47882	22844
677	47933	22764
678	47973	22679
679	48025	22600
680	48069	22516
681	48112	22433
682	48157	22351
683	48198	22267
684	48242	22184
685	48285	22101
686	48327	22018
687	48376	21938
688	48418	21854
689	48468	21775
690	48523	21698
691	48595	21629
692	48679	21565
693	48741	21491
694	48794	21413
695	48850	21337
696	48901	21258
697	48942	21175
698	48987	21094
699	49029	21012
700	49073	20931
701	49114	20849
702	49156	20767
703	49207	20689
704	49257	20611
705	49319	20537
706	49379	20464
707	49427	20385
708	49477	20307
709	49520	20226
710	49566	20147
711	49614	20068
712	49670	19993
713	49730	19920
714	49798	19849
715	49892	19789
716	49984	19728
717	50055	19659
718	50100	19580
719	50149	19502
720	50200	19425
721	50242	19345
722	50300	19271
723	50386	19207
724	50461	19140
725	50512	19063
726	50555	18984
727	50611	18909
728	50670	18836
729	50720	18759
730	50777	18685
731	50825	18608
732	50874	18531
733	50923	18454
734	50963	18374
735	51011	18297
736	51101	18235
737	51149	18158
738	51192	18079
739	51237	18002
740	51281	17924
741	51328	17847
742	51370	17768
743	51420	17693
744	51485	17622
745	51528	17544
746	51572	17466
747	51619	17390
748	51662	17312
749	51702	17234
750	51742	17155
751	51785	17078
752	51825	17000
753	51927	16941
754	51988	16870
755	52034	16794
756	52089	16720
757	52138	16645
758	52191	16572
759	52233	16494
760	52283	16420
761	52355	16352
762	52419	16282
763	52465	16206
764	52509	16130
765	52557	16055
766	52598	15978
767	52640	15901
768	52680	15824
769	52722	15748
770	52763	15671
771	52808	15596
772	52851	15520
773	52905	15447
774	53003	15387
775	53099	15327
776	53158	15256
777	53216	15185
778	53268	15112
779	53328	15041
780	53379	14967
781	53428	14894
782	53478	14821
783	53571	14759
784	53677	14701
785	53871	14667
786	53957	14603
787	54010	14530
788	54096	14466
789	54221	14413
790	54347	14359
791	54411	14289
792	54506	14228
793	54604	14166
794	54658	14094
795	54713	14022
796	54770	13950
797	54825	13878
798	54951	13823
799	55044	13761
800	55089	13686
801	55130	13610
802	55175	13536
803	55218	13461
804	55280	13390
805	55424	13340
806	55488	13270
807	55542	13198
808	55603	13127
809	55655	13054
810	55707	12982
811	55772	12912
812	55847	12845
813	55891	12771
814	55934	12696
815	55975	12622
816	56017	12547
817	56060	12473
818	56111	12400
819	56155	12326
820	56196	12252
821	56254	12181
822	56315	12111
823	56370	12040
824	56414	11966
825	56465	11894
826	56516	11822
827	56565	11750
828	56614	11677
829	56663	11605
830	56714	11533
831	56780	11465
832	56893	11406
833	56992	11343
834	57052	11273
835	57102	11201
836	57158	11131
837	57203	11058
838	57259	10987
839	57330	10920
840	57405	10853
841	57479	10785
842	57549	10718
843	57591	10644
844	57636	10572
845	57677	10499
846	57731	10428
847	57777	10356
848	57826	10284
849	57880	10214
850	57940	10144
851	57984	10072
852	58025	9999
853	58068	9927
854	58118	9856
855	58160	9784
856	58204	9712
857	58247	9640
858	58320	9573
859	58359	9500
860	58432	9433
861	58473	9361
862	58512	9288
863	58560	9217
864	58629	9150
865	58668	9078
866	58707	9005
867	58758	8935
868	58794	8863
869	58866	8796
870	58905	8724
871	58952	8653
872	58993	8582
873	59034	8510
874	59075	8439
875	59117	8368
876	59156	8296
877	59196	8225
878	59235	8154
879	59274	8082
880	59314	8011
881	59357	7941
882	59399	7870
883	59441	7799
884	59479	7728
885	59520	7658
886	59561	7587
887	59599	7517
888	59638	7446
889	59678	7375
890	59724	7306
891	59765	7236
892	59813	7166
893	59854	7096
894	59897	7027
895	59934	6956
896	59972	6886
897	60014	6816
898	60056	6747
899	60117	6679
900	60171	6611
901	60221	6542
902	60259	6473
903	60310	6404
904	60367	6336
905	60414	6268
906	60457	6199
907	60502	6130
908	60549	6061
909	60599	5993
910	60642	5924
911	60686	5855
912	60731	5787
913	60771	5718
914	60813	5649
915	60855	5580
916	60900	5512
917	60944	5443
918	60989	5375
919	61038	5307
920	61078	5239
921	61117	5170
922	61170	5103
923	61210	5034
924	61257	4966
925	61307	4899
926	61350	4831
927	61398	4763
928	61452	4696
929	61499	4629
930	61543	4561
931	61587	4493
932	61625	4425
933	61670	4357
934	61710	4290
935	61747	4222
936	61796	4154
937	61838	4087
938	61884	4020
939	61926	3952
940	61971	3885
941	62019	3818
942	62063	3751
943	62108	3684
944	62167	3618
945	62205	3550
946	62245	3483
947	62298	3417
948	62371	3351
949	62489	3288
950	62548	3222
951	62603	3156
952	62649	3089
953	62699	3023
954	62744	2956
955	62799	2890
956	62844	2823
957	62889	2757
958	62935	2690
959	62987	2624
960	63046	2558
961	63138	2494
962	63223	2429
963	63305	2364
964	63374	2298
965	63424	2232
966	63471	2166
967	63520	2099
968	63576	2033
969	63628	1967
970	63678	1901
971	63723	1835
972	63785	1770
973	63831	1703
974	63881	1637
975	63929	1572
976	63982	1506
977	64022	1440
978	64066	1374
979	64170	1309
980	64235	1244
981	64284	1178
982	64337	1112
983	64386	1046
984	64439	981
985	64489	915
986	64530	849
987	64570	784
988	64610	718
989	64667	653
990	64712	587
991	64750	522
992	64794	456
993	64834	391
994	64879	326
995	64919	260
996	64961	195
997	65000	130
998	65041	65
999	65089	0
